Contig,protein,Sample_ID,AMG_KO,AMG_KO_name,Pfam,Pfam_name,AMG_KO,KEGG_Entry,Metabolism,Pathway
HV_009_19_k141_25043,HV_009_19_k141_25043_4,HV_009_19,K00823,puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19],PF00202.21,Aminotransferase class-III,K00823,map00640,Carbohydrate metabolism,Propanoate metabolism
HV_009_19_k141_25043_B,HV_009_19_k141_25043_4_B,HV_009_19,K00823,puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19],PF00202.21,Aminotransferase class-III,K00823,map00650,Carbohydrate metabolism,Butanoate metabolism
HV_009_19_k141_25043_C,HV_009_19_k141_25043_4_C,HV_009_19,K00823,puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19],PF00202.21,Aminotransferase class-III,K00823,map00250,Amino acid metabolism,Alanine; aspartate and glutamate metabolism
HV_009_19_k141_25043_D,HV_009_19_k141_25043_4_D,HV_009_19,K00823,puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19],PF00202.21,Aminotransferase class-III,K00823,map00410,Metabolism of other amino acids,beta-Alanine metabolism
HV_009_27_k141_45646,HV_009_27_k141_45646_2,HV_009_27,K01243,mtnN; mtn; pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9],PF01048.20,Phosphorylase superfamily,K01243,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_010_01_k141_16893,HV_010_01_k141_16893_2,HV_010_01,K01046,lip; TGL2; triacylglycerol lipase [EC:3.1.1.3],PF07819.13,PGAP1-like protein,K01046,map00561,Lipid metabolism,Glycerolipid metabolism
HV_010_01_k141_16893_10,HV_010_01_k141_16893_10,HV_010_01,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_010_02_k141_9104,HV_010_02_k141_9104_1,HV_010_02,K01087,otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12],PF02358.16,Trehalose-phosphatase,K01087,map00500,Carbohydrate metabolism,Starch and sucrose metabolism
HV_010_03_k141_4477,HV_010_03_k141_4477_3,HV_010_03,K13065,E2.3.1.133; HCT; shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133],,,K13065,map00940,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis
HV_010_03_k141_4477_B,HV_010_03_k141_4477_3_B,HV_010_03,K13065,E2.3.1.133; HCT; shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133],,,K13065,map00945,Biosynthesis of other secondary metabolites,Stilbenoid; diarylheptanoid and gingerol biosynthesis
HV_010_03_k141_4477_C,HV_010_03_k141_4477_3_C,HV_010_03,K13065,E2.3.1.133; HCT; shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133],,,K13065,map00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
HV_010_05_k141_27164,HV_010_05_k141_27164_9,HV_010_05,K00800,aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19],PF00275.20,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),K00800,map00400,Amino acid metabolism,Phenylalanine; tyrosine and tryptophan biosynthesis
HV_010_05_k141_32866,HV_010_05_k141_32866_3,HV_010_05,K00865,glxK; garK; glycerate 2-kinase [EC:2.7.1.165],PF02595.15,Glycerate kinase family,K00865,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_010_05_k141_32866_B,HV_010_05_k141_32866_3_B,HV_010_05,K00865,glxK; garK; glycerate 2-kinase [EC:2.7.1.165],PF02595.15,Glycerate kinase family,K00865,map00561,Lipid metabolism,Glycerolipid metabolism
HV_010_05_k141_32866_C,HV_010_05_k141_32866_3_C,HV_010_05,K00865,glxK; garK; glycerate 2-kinase [EC:2.7.1.165],PF02595.15,Glycerate kinase family,K00865,map00260,Amino acid metabolism,Glycine; serine and threonine metabolism
HV_010_05_k141_33410,HV_010_05_k141_33410_2,HV_010_05,K00640,cysE; serine O-acetyltransferase [EC:2.3.1.30],,,K00640,map00920,Energy metabolism,Sulfur metabolism
HV_010_05_k141_33410_B,HV_010_05_k141_33410_2_B,HV_010_05,K00640,cysE; serine O-acetyltransferase [EC:2.3.1.30],,,K00640,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_010_05_k141_48443,HV_010_05_k141_48443_5,HV_010_05,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_010_06_k141_22075,HV_010_06_k141_22075_1,HV_010_06,K08591,plsY; acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275],PF02660.15,Glycerol-3-phosphate acyltransferase,K08591,map00561,Lipid metabolism,Glycerolipid metabolism
HV_010_06_k141_22075_B,HV_010_06_k141_22075_1_B,HV_010_06,K08591,plsY; acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275],PF02660.15,Glycerol-3-phosphate acyltransferase,K08591,map00564,Lipid metabolism,Glycerophospholipid metabolism
HV_010_09_k141_27114,HV_010_09_k141_27114_4,HV_010_09,K18982,gli; D-galactarolactone isomerase [EC:5.4.1.4],,,K18982,map00053,Carbohydrate metabolism,Ascorbate and aldarate metabolism
HV_010_09_k141_32588,HV_010_09_k141_32588_6,HV_010_09,K01911,menE; O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26],PF00501.28,AMP-binding enzyme,K01911,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
HV_010_09_k141_32588_7,HV_010_09_k141_32588_7,HV_010_09,K02549,menC; O-succinylbenzoate synthase [EC:4.2.1.113],PF13378.6,Enolase C-terminal domain-like,K02549,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
HV_010_09_k141_51215,HV_010_09_k141_51215_4,HV_010_09,K01620,ltaE; threonine aldolase [EC:4.1.2.48],PF01212.21,Beta-eliminating lyase,K01620,map00260,Amino acid metabolism,Glycine; serine and threonine metabolism
HV_010_10_k141_14508,HV_010_10_k141_14508_1,HV_010_10,K05881,dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121],PF03610.16,PTS system fructose IIA component,K05881,map00561,Lipid metabolism,Glycerolipid metabolism
HV_010_11_k141_112071,HV_010_11_k141_112071_5,HV_010_11,K02501,hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10],,,K02501,map00340,Amino acid metabolism,Histidine metabolism
HV_010_12_k141_11597,HV_010_12_k141_11597_6,HV_010_12,K22212,mleA; mleS; malolactic enzyme [EC:4.1.1.101],PF00390.19,Malic enzyme; N-terminal domain,K22212,map00620,Carbohydrate metabolism,Pyruvate metabolism
HV_010_12_k141_13684,HV_010_12_k141_13684_2,HV_010_12,K01737,queD; ptpS; PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50],PF01242.19,6-pyruvoyl tetrahydropterin synthase,K01737,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_010_12_k141_13684_3,HV_010_12_k141_13684_3,HV_010_12,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_010_12_k141_14191,HV_010_12_k141_14191_4,HV_010_12,K07258,dacC; dacA; dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],PF00768.20,D-alanyl-D-alanine carboxypeptidase,K07258,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_010_12_k141_17154,HV_010_12_k141_17154_2,HV_010_12,K00432,gpx; glutathione peroxidase [EC:1.11.1.9],PF00255.19,Glutathione peroxidase,K00432,map00590,Lipid metabolism,Arachidonic acid metabolism
HV_010_12_k141_17154_B,HV_010_12_k141_17154_2_B,HV_010_12,K00432,gpx; glutathione peroxidase [EC:1.11.1.9],PF00255.19,Glutathione peroxidase,K00432,map00480,Metabolism of other amino acids,Glutathione metabolism
HV_010_12_k141_17154_3,HV_010_12_k141_17154_3,HV_010_12,K00390,cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],PF01507.19,Phosphoadenosine phosphosulfate reductase family,K00390,map00920,Energy metabolism,Sulfur metabolism
HV_010_12_k141_6282,HV_010_12_k141_6282_2,HV_010_12,K01495,GCH1; folE; GTP cyclohydrolase IA [EC:3.5.4.16],PF01227.22,GTP cyclohydrolase I,K01495,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_010_13_k141_48483,HV_010_13_k141_48483_1,HV_010_13,K01933,purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],PF02769.22,AIR synthase related protein; C-terminal domain,K01933,map00230,Nucleotide metabolism,Purine metabolism
HV_010_13_k141_48483_4,HV_010_13_k141_48483_4,HV_010_13,K11175,purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],PF00551.19,Formyl transferase,K11175,map00230,Nucleotide metabolism,Purine metabolism
HV_010_13_k141_48483_B,HV_010_13_k141_48483_4_B,HV_010_13,K11175,purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],PF00551.19,Formyl transferase,K11175,map00670,Metabolism of cofactors and vitamins,One carbon pool by folate
HV_010_14_k141_176941,HV_010_14_k141_176941_3,HV_010_14,K06881,nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3],PF01368.20,DHH family,K06881,map00920,Energy metabolism,Sulfur metabolism
HV_010_14_k141_55133,HV_010_14_k141_55133_4,HV_010_14,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_010_14_k141_58956,HV_010_14_k141_58956_7,HV_010_14,K22227,ahbD; heme synthase,PF04055.21,Radical SAM superfamily,K22227,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_010_14_k141_94175,HV_010_14_k141_94175_5,HV_010_14,K01455,E3.5.1.49; formamidase [EC:3.5.1.49],PF13041.6,PPR repeat family,K01455,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_010_14_k141_94175_B,HV_010_14_k141_94175_5_B,HV_010_14,K01455,E3.5.1.49; formamidase [EC:3.5.1.49],PF13041.6,PPR repeat family,K01455,map00910,Energy metabolism,Nitrogen metabolism
HV_010_14_k141_94175_C,HV_010_14_k141_94175_5_C,HV_010_14,K01455,E3.5.1.49; formamidase [EC:3.5.1.49],PF13041.6,PPR repeat family,K01455,map00460,Metabolism of other amino acids,Cyanoamino acid metabolism
HV_010_16_k141_68028,HV_010_16_k141_68028_3,HV_010_16,K06167,phnP; phosphoribosyl 1;2-cyclic phosphate phosphodiesterase [EC:3.1.4.55],PF12706.7,Beta-lactamase superfamily domain,K06167,map00440,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
HV_010_16_k141_95767,HV_010_16_k141_95767_3,HV_010_16,K05366,mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],PF00912.22,Transglycosylase,K05366,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_010_18_k141_11970,HV_010_18_k141_11970_3,HV_010_18,K00432,gpx; glutathione peroxidase [EC:1.11.1.9],PF00255.19,Glutathione peroxidase,K00432,map00590,Lipid metabolism,Arachidonic acid metabolism
HV_010_18_k141_11970_B,HV_010_18_k141_11970_3_B,HV_010_18,K00432,gpx; glutathione peroxidase [EC:1.11.1.9],PF00255.19,Glutathione peroxidase,K00432,map00480,Metabolism of other amino acids,Glutathione metabolism
HV_010_18_k141_18608,HV_010_18_k141_18608_4,HV_010_18,K01911,menE; O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26],PF00501.28,AMP-binding enzyme,K01911,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
HV_010_18_k141_5602,HV_010_18_k141_5602_3,HV_010_18,K01840,manB; phosphomannomutase [EC:5.4.2.8],PF02878.16,Phosphoglucomutase/phosphomannomutase; alpha/beta/alpha domain I,K01840,map00051,Carbohydrate metabolism,Fructose and mannose metabolism
HV_010_18_k141_5602_B,HV_010_18_k141_5602_3_B,HV_010_18,K01840,manB; phosphomannomutase [EC:5.4.2.8],PF02878.16,Phosphoglucomutase/phosphomannomutase; alpha/beta/alpha domain I,K01840,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_010_18_k141_62089,HV_010_18_k141_62089_4,HV_010_18,K06167,phnP; phosphoribosyl 1;2-cyclic phosphate phosphodiesterase [EC:3.1.4.55],PF12706.7,Beta-lactamase superfamily domain,K06167,map00440,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
HV_010_19_k141_28165,HV_010_19_k141_28165_1,HV_010_19,K03148,thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73],PF00899.21,ThiF family,K03148,map00730,Metabolism of cofactors and vitamins,Thiamine metabolism
HV_010_19_k141_28165_B,HV_010_19_k141_28165_1_B,HV_010_19,K03148,thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73],PF00899.21,ThiF family,K03148,map04122,Folding; sorting and degradation,Sulfur relay system
HV_010_19_k141_4761,HV_010_19_k141_4761_7,HV_010_19,K00973,E2.7.7.24; rfbA; rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24],,,K00973,map00523,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis
HV_010_19_k141_4761_B,HV_010_19_k141_4761_7_B,HV_010_19,K00973,E2.7.7.24; rfbA; rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24],,,K00973,map00521,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis
HV_010_19_k141_4761_C,HV_010_19_k141_4761_7_C,HV_010_19,K00973,E2.7.7.24; rfbA; rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24],,,K00973,map00525,Biosynthesis of other secondary metabolites,Acarbose and validamycin biosynthesis
HV_010_19_k141_57579,HV_010_19_k141_57579_5,HV_010_19,K18982,gli; D-galactarolactone isomerase [EC:5.4.1.4],PF04909.14,Amidohydrolase,K18982,map00053,Carbohydrate metabolism,Ascorbate and aldarate metabolism
HV_010_21_k141_19280,HV_010_21_k141_19280_3,HV_010_21,K21147,moeZR; moeBR; sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-],,,K21147,map04122,Folding; sorting and degradation,Sulfur relay system
HV_010_27_k141_16053,HV_010_27_k141_16053_3,HV_010_27,K01243,mtnN; mtn; pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9],PF01048.20,Phosphorylase superfamily,K01243,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_010_27_k141_3514,HV_010_27_k141_3514_11,HV_010_27,K03894,iucA; N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38],PF04183.12,IucA / IucC family,K03894,map00310,Amino acid metabolism,Lysine degradation
HV_010_27_k141_5592,HV_010_27_k141_5592_4,HV_010_27,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_011_02_k141_1111,HV_011_02_k141_1111_3,HV_011_02,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_011_04_k141_103473,HV_011_04_k141_103473_3,HV_011_04,K01790,rfbC; rmlC; dTDP-4-dehydrorhamnose 3;5-epimerase [EC:5.1.3.13],PF00908.17,dTDP-4-dehydrorhamnose 3;5-epimerase,K01790,map00523,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis
HV_011_04_k141_103473_B,HV_011_04_k141_103473_3_B,HV_011_04,K01790,rfbC; rmlC; dTDP-4-dehydrorhamnose 3;5-epimerase [EC:5.1.3.13],PF00908.17,dTDP-4-dehydrorhamnose 3;5-epimerase,K01790,map00521,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis
HV_011_04_k141_113465,HV_011_04_k141_113465_1,HV_011_04,K03462,NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12],PF18127.1,Domain of unknown function (DUF5598),K03462,map00760,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
HV_011_06_k141_28213,HV_011_06_k141_28213_4,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
HV_011_06_k141_28213_B,HV_011_06_k141_28213_4_B,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00680,Energy metabolism,Methane metabolism
HV_011_06_k141_28213_C,HV_011_06_k141_28213_4_C,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00071,Lipid metabolism,Fatty acid degradation
HV_011_06_k141_28213_D,HV_011_06_k141_28213_4_D,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00350,Amino acid metabolism,Tyrosine metabolism
HV_011_06_k141_28213_E,HV_011_06_k141_28213_4_E,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00830,Metabolism of cofactors and vitamins,Retinol metabolism
HV_011_06_k141_28213_F,HV_011_06_k141_28213_4_F,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00625,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation
HV_011_06_k141_28213_G,HV_011_06_k141_28213_4_G,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00626,Xenobiotics biodegradation and metabolism,Naphthalene degradation
HV_011_06_k141_28213_H,HV_011_06_k141_28213_4_H,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
HV_011_06_k141_28213_I,HV_011_06_k141_28213_4_I,HV_011_06,K00121,frmA; ADH5; adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],PF08240.12,Alcohol dehydrogenase GroES-like domain,K00121,map00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
HV_011_06_k141_43069,HV_011_06_k141_43069_2,HV_011_06,K00600,glyA; SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1],PF00464.19,Serine hydroxymethyltransferase,K00600,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_011_06_k141_43069_B,HV_011_06_k141_43069_2_B,HV_011_06,K00600,glyA; SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1],PF00464.19,Serine hydroxymethyltransferase,K00600,map00680,Energy metabolism,Methane metabolism
HV_011_06_k141_43069_C,HV_011_06_k141_43069_2_C,HV_011_06,K00600,glyA; SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1],PF00464.19,Serine hydroxymethyltransferase,K00600,map00260,Amino acid metabolism,Glycine; serine and threonine metabolism
HV_011_06_k141_43069_D,HV_011_06_k141_43069_2_D,HV_011_06,K00600,glyA; SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1],PF00464.19,Serine hydroxymethyltransferase,K00600,map00460,Metabolism of other amino acids,Cyanoamino acid metabolism
HV_011_06_k141_43069_E,HV_011_06_k141_43069_2_E,HV_011_06,K00600,glyA; SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1],PF00464.19,Serine hydroxymethyltransferase,K00600,map00670,Metabolism of cofactors and vitamins,One carbon pool by folate
HV_011_06_k141_8282,HV_011_06_k141_8282_5,HV_011_06,K21029,moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80],PF00899.21,ThiF family,K21029,map04122,Folding; sorting and degradation,Sulfur relay system
HV_011_09_k141_8365,HV_011_09_k141_8365_2,HV_011_09,K01233,csn; chitosanase [EC:3.2.1.132],PF01374.18,Glycosyl hydrolase family 46,K01233,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_011_11_k141_8976,HV_011_11_k141_8976_1,HV_011_11,K12448,UXE; uxe; UDP-arabinose 4-epimerase [EC:5.1.3.5],,,K12448,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_011_18_k141_1008,HV_011_18_k141_1008_5,HV_011_18,K00123,fdoG; fdhF; fdwA; formate dehydrogenase major subunit [EC:1.17.1.9],PF01568.21,Molydopterin dinucleotide binding domain,K00123,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_011_18_k141_1008_B,HV_011_18_k141_1008_5_B,HV_011_18,K00123,fdoG; fdhF; fdwA; formate dehydrogenase major subunit [EC:1.17.1.9],PF01568.21,Molydopterin dinucleotide binding domain,K00123,map00680,Energy metabolism,Methane metabolism
HV_011_19_k141_5562,HV_011_19_k141_5562_4,HV_011_19,K00721,DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83],,,K00721,map00510,Glycan biosynthesis and metabolism,N-Glycan biosynthesis
HV_011_21_k141_17321,HV_011_21_k141_17321_2,HV_011_21,K01939,purA; ADSS; adenylosuccinate synthase [EC:6.3.4.4],PF00709.21,Adenylosuccinate synthetase,K01939,map00230,Nucleotide metabolism,Purine metabolism
HV_011_21_k141_17321_B,HV_011_21_k141_17321_2_B,HV_011_21,K01939,purA; ADSS; adenylosuccinate synthase [EC:6.3.4.4],PF00709.21,Adenylosuccinate synthetase,K01939,map00250,Amino acid metabolism,Alanine; aspartate and glutamate metabolism
HV_011_27_k141_2940,HV_011_27_k141_2940_3,HV_011_27,K00285,dadA; D-amino-acid dehydrogenase [EC:1.4.5.1],PF01266.24,FAD dependent oxidoreductase,K00285,map00360,Amino acid metabolism,Phenylalanine metabolism
HV_012_04_k141_6967,HV_012_04_k141_6967_1,HV_012_04,K01012,bioB; biotin synthase [EC:2.8.1.6],PF06968.13,Biotin and Thiamin Synthesis associated domain,K01012,map00780,Metabolism of cofactors and vitamins,Biotin metabolism
HV_012_04_k141_9382,HV_012_04_k141_9382_2,HV_012_04,K08281,pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-],,,K08281,map00760,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
HV_012_05_k141_18917,HV_012_05_k141_18917_10,HV_012_05,K06132,clsC; cardiolipin synthase C [EC:2.7.8.-],PF13091.6,PLD-like domain,K06132,map00564,Lipid metabolism,Glycerophospholipid metabolism
HV_012_06_k141_12287,HV_012_06_k141_12287_6,HV_012_06,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_012_06_k141_6040,HV_012_06_k141_6040_8,HV_012_06,K07258,dacC; dacA; dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],PF00768.20,D-alanyl-D-alanine carboxypeptidase,K07258,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_012_06_k141_6040_12,HV_012_06_k141_6040_12,HV_012_06,K01233,csn; chitosanase [EC:3.2.1.132],PF01374.18,Glycosyl hydrolase family 46,K01233,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_012_06_k141_6349,HV_012_06_k141_6349_4,HV_012_06,K01091,gph; phosphoglycolate phosphatase [EC:3.1.3.18],PF13419.6,Haloacid dehalogenase-like hydrolase,K01091,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_012_07_k141_1626,HV_012_07_k141_1626_6,HV_012_07,K09020,rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110],PF00857.20,Isochorismatase family,K09020,map00240,Nucleotide metabolism,Pyrimidine metabolism
HV_012_07_k141_2537,HV_012_07_k141_2537_3,HV_012_07,K03821,phbC; phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-],PF00561.20,alpha/beta hydrolase fold,K03821,map00650,Carbohydrate metabolism,Butanoate metabolism
HV_012_10_k141_20114,HV_012_10_k141_20114_1,HV_012_10,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],PF01808.18,AICARFT/IMPCHase bienzyme,K00602,map00230,Nucleotide metabolism,Purine metabolism
HV_012_10_k141_20114_B,HV_012_10_k141_20114_1_B,HV_012_10,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],PF01808.18,AICARFT/IMPCHase bienzyme,K00602,map00670,Metabolism of cofactors and vitamins,One carbon pool by folate
HV_012_10_k141_20114_2,HV_012_10_k141_20114_2,HV_012_10,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],,,K00602,map00230,Nucleotide metabolism,Purine metabolism
HV_012_10_k141_20114_2_B,HV_012_10_k141_20114_2_C,HV_012_10,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],,,K00602,map00670,Metabolism of cofactors and vitamins,One carbon pool by folate
HV_012_11_k141_40307,HV_012_11_k141_40307_6,HV_012_11,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_012_16_k141_32728,HV_012_16_k141_32728_1,HV_012_16,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_012_16_k141_32728_2,HV_012_16_k141_32728_2,HV_012_16,K01737,queD; ptpS; PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50],PF01242.19,6-pyruvoyl tetrahydropterin synthase,K01737,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
